UT	AF	TI	SO	AB	C1	PY	WC	author	gender.x	author_male	gender.y	author_female
ISI000456815500003	SKJELSBAEK, INGER	SILENCE BREAKERS IN WAR AND PEACE: RESEARCH ON GENDER AND VIOLENCE WITH AN ETHICS OF ENGAGEMENT	SOCIAL POLITICS	IN 2001 I PUBLISHED AN ARTICLE IN EJIR WHICH ANALYZED 140 STUDIES ON SEXUAL VIOLENCE IN WAR PUBLISHED IN THE 1900S. IT TOOK ONE YEAR TO GATHER THE 140 ARTICLES. TODAY A QUICK GOOGLE SEARCH WILL YIELD THOUSANDS OF HITS. THE POLITICAL ATTENTION GIVEN TO GENDER-BASED ASPECTS OF ARMED CONFLICT, AND SEXUAL VIOLENCE IN PARTICULAR, HAS CREATED A DEMAND FOR PARTICULAR FORMS OF KNOWLEDGE AND IN THIS DYNAMIC LIES A TENSION FOR THE ACADEMIC COMMUNITY. THIS ARTICLE PRESENTS AN ANALYSIS OF THE SOCIAL SCIENCE LITERATURE ON CONFLICT-RELATED SEXUAL VIOLENCE BASED ON THE NOTION OF AN ETHICS OF ENGAGEMENT.	[SKJELSBAEK, INGER] UNIV OSLO, OSLO PRIO, PEACE RES INST, CTR GENDER PEACE & SECUR, OSLO, NORWAY.; [SKJELSBAEK, INGER] UNIV OSLO, DEPT PSYCHOL, OSLO, NORWAY.	2018	SOCIAL ISSUES; WOMEN'S STUDIES	1.0			female	1.0
ISI000456815500004	BAAZ, MARIA ERIKSSON; GRAY, HARRIET; STERN, MARIA	WHAT CAN WE/DO WE WANT TO KNOW? REFLECTIONS FROM RESEARCHING SGBV IN MILITARY SETTINGS	SOCIAL POLITICS	THIS ARTICLE EXPLORES METHODOLOGICAL CHALLENGES THAT AROSE IN TWO PERPETRATOR-CENTERED RESEARCH PROJECTS ON SEXUAL AND GENDER-BASED VIOLENCE IN TWO DIFFERENT ARMED FORCES CONTEXTS: THE BRITISH ARMY AND THE ARMED FORCES OF THE DEMOCRATIC REPUBLIC OF CONGO. WE EXAMINE HOW THE INTERPLAY BETWEEN RESEARCH SUBJECTS', IN THIS CASE PERPETRATORS', PERFORMANCES AND OUR OWN DESIRES AND INVESTMENTS AS RESEARCHERS SHAPE THE KNOWLEDGE WE PRODUCE. ULTIMATELY, WE SEEK TO ENCOURAGE CONTINUING (SELF) CRITICAL DISCUSSIONS ON HOW VARIOUS DISCURSIVE FRAMINGS AND ETHICO-POLITICAL DESIRES SHAPE THE STORIES WE HEAR AS WELL AS THOSE THAT WE TELL.	[BAAZ, MARIA ERIKSSON] UPPSALA UNIV, DEPT GOVT, UPPSALA, SWEDEN.; [GRAY, HARRIET] UNIV YORK, DEPT POLIT, DERWENT COLL, YORK, N YORKSHIRE, ENGLAND.; [STERN, MARIA] GOTHENBURG UNIV, SCH GLOBAL STUDIES, GOTHENBURG, SWEDEN.	2018	SOCIAL ISSUES; WOMEN'S STUDIES	3.0			female	3.0
ISI000456815500005	BUSS, DORIS	CONFLICT MINERALS AND SEXUAL VIOLENCE IN CENTRAL AFRICA: TROUBLING RESEARCH	SOCIAL POLITICS	"\\\""THIS PAPER EXPLORES \\\""CONFLICT MINING-RELATED SEXUAL VIOLENCE\\\"" AS A TYPE OF CONFLICT SEXUAL VIOLENCE, TRACING THE DYNAMIC PROCESS BY WHICH THIS CATEGORY IS DEFINED IN AND THROUGH THE PRODUCTION OF RESEARCH. FOCUSING ON TWO \\\""CONFLICT MINERALS\\\"" INITIATIVES, I EXPLORE HOW DATA ON SEXUAL VIOLENCE ARE POSITIONED AS AN INDICATOR FOR ASSESSING ARMED CONFLICT AND HUMAN RIGHTS ABUSES IN MINING AREAS IN EASTERN DEMOCRATIC REPUBLIC OF THE CONGO. I TRACE THE METHODOLOGICAL DECISIONS AND EPISTEMIC CLAIMS THAT SHAPE WHAT IS KNOWABLE ABOUT MINING-RELATED SEXUAL VIOLENCE AND WHICH ERASE THE SIGNIFICANT METHODOLOGICAL CHALLENGES IN RESEARCHING SEXUAL- AND GENDER-BASED VIOLENCE IN EASTERN DEMOCRATIC REPUBLIC OF THE CONGO.\\""\"""""	[BUSS, DORIS] CARLETON UNIV, DEPT LAW & LEGAL STUDIES, OTTAWA, ON, CANADA.	2018	SOCIAL ISSUES; WOMEN'S STUDIES	1.0			female	1.0
ISI000456815500006	BOESTEN, JELKE; HENRY, MARSHA	BETWEEN FATIGUE AND SILENCE: THE CHALLENGES OF CONDUCTING RESEARCH ON SEXUAL VIOLENCE IN CONFLICT	SOCIAL POLITICS	THIS PAPER DISCUSSES THE MEANINGS OF RESEARCH FATIGUE AND SILENCES IN CONFLICT-RELATED SEXUAL VIOLENCE RESEARCH. DRAWING ON FIELD EXPERIENCES IN LIBERIA, TANZANIA, BOSNIA AND HERZEGOVINA, AND PERU, WE DISCUSS SOME OF THE UNINTENDED CONSEQUENCES OF PERSISTENT FOCUS ON VICTIM-SURVIVORS' NARRATIVES AND ARGUE FOR A REFLEXIVE FEMINIST PERSPECTIVE THAT ALLOWS US TO QUESTION THE NEED AND CONTEXT OF INTERVIEWING SURVIVORS AND THE ASSOCIATED INSISTENCE ON DISCLOSURE.	[BOESTEN, JELKE] KINGS COLL LONDON, SCH GLOBAL AFFAIRS, DEPT INT DEV, LONDON, ENGLAND.; [HENRY, MARSHA] LONDON SCH ECON & POLIT SCI, DEPT GENDER STUDIES, LONDON, ENGLAND.; [HENRY, MARSHA] LONDON SCH ECON & POLIT SCI, CTR WOMEN PEACE & SECUR, LONDON, ENGLAND.	2018	SOCIAL ISSUES; WOMEN'S STUDIES	1.0			female	1.0
ISI000456815500007	PORTER, HOLLY	"\\\""RAPE WITHOUT BODIES? REIMAGINING THE PHENOMENON WE CALL \\\""RAPE\\\""\\""\"""""	SOCIAL POLITICS	"\\\""\\\""HOW DO YOU DEFINE RAPE?\\\"" WHEN ONE DOES RESEARCH ON RAPE, THIS QUESTION IS ONE OF THE MOST BASIC AND COMMON. OSTENSIBLY, THE QUESTION IS ABOUT METHODOLOGY. BUT IF WE SCRATCH BENEATH THE SURFACE, IT IS FUNDAMENTALLY AN ONTOLOGICAL QUESTION: WHAT IS RAPE? THIS ARTICLE EXPLORES WHERE THE THRESHOLD WHICH SEPARATES SEX THAT IS OKAY FROM SEX THAT IS RAPE COMES FROM. DOES IT COME FROM A DEEPLY EMBODIED SENSE OF BEING VIOLATED, A NORMATIVE LIMIT THAT IS SOCIALLY AND/OR LEGALLY CONSTRUCTED-OR SOMETHING ELSE? ULTIMATELY, THE ARTICLE SUGGESTS A REIMAGINING OF RAPE AS A SEXUAL TRESPASS ON THE BOUNDARIES OF BEING.\\""\"""""	[PORTER, HOLLY] UNIV ANTWERP, INST DEV POLICY, ANTWERP, BELGIUM.; [PORTER, HOLLY] UNIV GHENT, CONFLICT RES GRP, GHENT, BELGIUM.; [PORTER, HOLLY] LONDON SCH ECON & POLIT SCI, FIROZ LALJI CTR AFRICA, LONDON, ENGLAND.	2018	SOCIAL ISSUES; WOMEN'S STUDIES	1.0			female	1.0
ISI000456097300004	PAKIRNATHAN, PAUL GNANASELVAM; KEPOL, NAPISAH	PERCEIVED TEACHERS' SELF-DISCLOSURE, WRITING PERFORMANCE AND GENDER OF MALAYSIAN ESL UNDERGRADUATES	PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES	THIS EXPLORATORY STUDY AIMED TO DETERMINE THE RELATIONSHIP BETWEEN PERCEIVED TEACHER SELF-DISCLOSURE, WRITING PERFORMANCE, AND GENDER OF MALAYSIAN ENGLISH AS A SECOND LANGUAGE (ESL) UNDERGRADUATES. A SELF-ADMINISTERED QUESTIONNAIRE WAS DISTRIBUTED TO 75 STUDENTS WHO HAD ENROLLED IN A UNIVERSITY WRITING COURSE AT THE END OF THEIR TERMS. FIFTY-SEVEN STUDENTS HAD RESPONDED. THE PERCEIVED TEACHERS' SELF-DISCLOSURE SCALE, WHICH INDEXES THREE ASPECTS OF TEACHER SELF-DISCLOSURE NAMELY AMOUNT, RELEVANCE, AND NEGATIVITY WAS USED TO DETERMINE THE UNDERGRADUATES' PERCEPTIONS OF THEIR PERCEIVED TEACHERS' SELF-DISCLOSURE. SCORES FOR WRITING PERFORMANCE WERE GATHERED FROM THE RESULTS OBTAINED BY THE STUDENTS IN THEIR FINAL EXAMINATION FOR THE WRITING COURSE. THE RELATIONSHIP BETWEEN PERCEIVED TEACHER SELF-DISCLOSURE AND WRITING PERFORMANCE WAS ANALYZED USING THE PEARSON PRODUCT-MOMENT CORRELATIONS TEST. THE DIFFERENCE BETWEEN PERCEIVED TEACHER SELF-DISCLOSURE AND GENDER WAS ANALYZED USING THE INDEPENDENT SAMPLE T-TEST. THE RESULTS SHOWED A SMALL, POSITIVE CORRELATION BETWEEN TWO ASPECTS OF TEACHER SELF-DISCLOSURE (AMOUNT AND RELEVANCE) AND WRITING PERFORMANCE. THE RESULTS FROM THIS STUDY DEMONSTRATED THAT ESL STUDENTS PERCEIVED THAT RELEVANT TEACHER SELF-DISCLOSURE, RELATING TO COURSE CONTENT, HAD IMPORTANT IMPLICATIONS FOR THEIR WRITING PERFORMANCE. THUS, TEACHER SELF-DISCLOSURE IS AN IMPORTANT ELEMENT OF CLASSROOM INSTRUCTION THAT COULD BE USED TO ENHANCE CONTENT KNOWLEDGE, ESPECIALLY IN IDEA GENERATING, SELF-VOICE AND OPINION AMONG ESL STUDENTS IN A WRITING CLASS. THE RESULTS ALSO SHOWED A SIGNIFICANT DIFFERENCE IN ONE DIMENSION OF TEACHER SELF-DISCLOSURE, NEGATIVITY, AND GENDER. FURTHER COMPREHENSIVE STUDIES SHOULD BE CONDUCTED TO GAUGE THE IMPLICATIONS OF PERCEIVED TEACHERS' SELF-DISCLOSURE TO THE TEACHING AND LEARNING ASPECTS IN ESL WRITING CLASSROOMS.	[PAKIRNATHAN, PAUL GNANASELVAM] UNIV TUNKU ABDUL RAHMAN, FAC ARTS & SOCIAL SCI, KAMPAR 31900, PERAK, MALAYSIA.; [KEPOL, NAPISAH] UNIV PENDIDIKAN SULTAN IDRIS, FAC LANGUAGES & COMMUN, DEPT ENGLISH LANGUAGE & LITERATURE, TANJONG MALIM 35900, PERAK, MALAYSIA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	1.0	male	1.0		
ISI000456097300006	MEHTA, SANDHYA RAO; AL-MAHROOQI, RAHMA; DENMAN, CHRISTOPHER; AL-AGHBARI, KHALSA	ASSESSING OMANI UNIVERSITY ENTRANTS' CRITICAL THINKING SKILLS WITH THE CORNELL CLASS-REASONING TEST FORM X	PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES	THIS STUDY EXAMINED THE CRITICAL THINKING SKILLS OF FIRST YEAR STUDENTS AT A PUBLIC UNIVERSITY IN OMAN TO DETERMINE WHETHER THESE SKILLS WERE ADEQUATELY DEVELOPED AT THE SCHOOL LEVEL. AN ADAPTED VERSION OF THE CORNELL CLASS-REASONING TEST FORM X WAS ADMINISTERED TO 60 STUDENTS WHO HAD JUST GRADUATED HIGH SCHOOL AND ENTERED THE UNIVERSITY. DESCRIPTIVE ANALYSIS OF TEST RESULTS REVEALED THAT PARTICIPANTS HAD FAILED TO MASTER FOUR OF THE FIVE PRINCIPLES ASSESSED BY THE TEST'S ITEM GROUPS, WHILE RECEIVING SCORES THAT SUGGESTED NEITHER MASTERY NOR FAILURE TO MASTER THE REMAINING PRINCIPLE. THE OVERALL AVERAGE CORRECT PERCENTAGE FOR THE SAMPLE OF 45.8% WAS COMPARABLE TO RESULTS FROM GRADE 4 STUDENTS IN THE UNITED STATES OFFERED BY THE TEST CREATORS. INDEPENDENT SAMPLES T-TESTS INDICATED STATISTICALLY SIGNIFICANT DIFFERENCES ON OVERALL TEST SCORES BASED ON GENDER AND LEVEL OF STUDY IN THE ENGLISH FOUNDATION PROGRAM, ALTHOUGH NO DIFFERENCES BASED ON AGE WERE FOUND. THE PAPER CONCLUDES BY ARGUING THAT CRITICAL THINKING NEEDS TO BE BETTER INTEGRATED INTO THE CURRICULUM IN OMAN'S EDUCATION SYSTEM IN ORDER TO ADEQUATELY PREPARE LEARNERS FOR THE DEMANDS OF UNIVERSITY STUDY AND THE WORKFORCE.	[MEHTA, SANDHYA RAO; AL-AGHBARI, KHALSA] SULTAN QABOOS UNIV, DEPT ENGLISH LANGUAGE & LITERATURE, COLL ARTS & SOCIAL SCI, POB 42,POSTAL CODE 123, AL KHOUD, OMAN.; [AL-MAHROOQI, RAHMA; DENMAN, CHRISTOPHER] SULTAN QABOOS UNIV, POSTGRAD STUDIES & RES, POB 17,POSTAL CODE 123, AL KHOUD, OMAN.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	3.0	male	1.0	female	2.0
ISI000456097300033	DAUDA, MURITALA; SAKARIYAU, RAUF TUNDE; AMEEN, ABDULLATEEF	XENOPHOBIC VIOLENCE IN SOUTH AFRICA AND THE NIGERIANS' VICTIMIZATION: AN EMPIRICAL ANALYSIS	PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES	THE ISSUE OF XENOPHOBIA HAS BECOME A COMMON PHENOMENON IN SOUTH AFRICA, WHERE SIGNIFICANT NUMBERS OF INNOCENT LIVES HAVE BEEN LOST, PROPERTIES WORTH MILLIONS OF DOLLARS DESTROYED, AND MANY PEOPLE DISPLACED. THE VICTIMS OF THESE ATTACKS WERE MAJORLY BLACK AFRICANS. SURPRISINGLY, THE MOLESTATION AND ATTACKS ORIGINATED FROM AFRICANS AND TARGETED AT FELLOW AFRICANS PARTICULARLY THE BLACKS. THE UGLY TREND WHICH HAS BEEN LINKED TO THE PAROCHIAL MINDSET AMONG SOUTH AFRICANS WITH THE BELIEF THAT THE FOREIGN NATIONALS IN THEIR LAND ARE THE CAUSE OF UNEMPLOYMENT, POVERTY RATE AND SPREADING OF DEADLY DISEASES IN THE COUNTRY. GIVEN THIS FACT, IT HAS BECOME A NOTION WITHIN THE COUNTRY THAT FOREIGNERS HAVE HIJACKED THE SOCIO-ECONOMIC SECTOR OF SOUTH AFRICA AND THE SOLUTION WAS TO FRUSTRATE THE MIGRANTS OUT OF THE SOCIETY. HOWEVER, THE ATTACKS ON AFRICANS AND NIGERIANS IN PARTICULAR IS A BARBARIC AND DISTURBING SCENARIO WHICH DEFINITELY HAS IMPLICATIONS ON THE EXTERNAL RELATIONS OF BOTH COUNTRIES (NIGERIA AND SOUTH AFRICA). THUS, IT IS COGENT TO EXPLORE THE XENOPHOBIC VIOLENCE IN SOUTH AFRICA WITH SPECIAL FOCUS ON NIGERIANS. THE PAPER INFERS THAT AFRICANS NEED TO EMBRACE TOLERANCE AND TREAT FOREIGN NATIONALS IN THEIR COUNTRIES, IRRESPECTIVE OF RACE OR GENDER, WITH HIGH SENSE OF BROTHERLINESS TO PROMOTE COOPERATION AMONG THE AFRICAN STATES AS WELL AS ENHANCE PEACE AND DEVELOPMENT OF THE CONTINENT.	[DAUDA, MURITALA; SAKARIYAU, RAUF TUNDE] UUM, COLL LAW GOVT & INT STUDIES COLGIS, SCH INT STUDIES, SINTOK 06010, KEDAH, MALAYSIA.; [AMEEN, ABDULLATEEF] UNIV ILORIN, DEPT PUBL ADM, FAC MANAGEMENT SCI, ILORIN 240211, NIGERIA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	1.0	male	1.0		
ISI000456097300040	TEVIANA, TENGKU; LUBIS, ARLINA NURBAITY; SIREGAR, ZULKARNAIN	THE INFLUENCE OF MARKETING MIX DIMENSION ON THE DESTINATION IMAGE DIMENSION: A CASE STUDY OF LAKE TOBA, NORTH SUMATERA, INDONESIA	PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES	THIS RESEARCH IS TO TEST THE INFLUENCE OF THE MARKETING MIX DIMENSION, WHICH CONSISTS OF PRODUCT, PRICE, PROMOTION, AND PLACE, ON DESTINATION IMAGE DIMENSION, WHICH CONSISTS OF COGNITIVE IMAGE AND AFFECTIVE IMAGE. THE DATA COLLECTING USED QUESTIONNAIRE WITH 282 RESPONDENTS WITH ACCIDENTAL SAMPLING TECHNIQUE. THE RESULT OF THE TEST SHOWED THAT PRODUCT, PROMOTION, AND PLACE DIRECTLY RELATED TO COGNITIVE IMAGE. IN ADDITION, AFFECTIVE IMAGEIS ALSO DIRECTLY INFLUENCED BY PRODUCT, PRICE ANDCOGNITIVE IMAGE. THE RESULT OF THE RESEARCH ALSO SHOWED THAT PROMOTION AND LOCATION DID NOT DIRECTLY RELATE TO AFFECTIVE IMAGE. IN ADDITION, THE PRICE DID NOT DIRECTLY RELATE TO COGNITIVE IMAGE. THE RESULT OF THIS RESEARCH ALSO SHOWED THAT THE MARKETING MIX DIMENSION RELATED INDIRECTLY TO AFFECTIVE IMAGE BY THE VARIABLE OF COGNITIVE IMAGE. AMONG ALL DIMENSIONS OF MARKETING MIX, IT IS PRODUCT, PROMOTION, AND PLACE THAT RELATE TO COGNITIVE IMAGE. WHILE PRODUCT AND PRICE RELATE TO AFFECTIVE IMAGE INDIRECTLY.	[TEVIANA, TENGKU; SIREGAR, ZULKARNAIN] UNIV NEGERI MEDAN, KOTAK POS 1589 MEDAN 2022, SUMATERA UTARA 20221, INDONESIA.; [LUBIS, ARLINA NURBAITY] UNIV SUMATERA UTARA, MEDAN BARU 20155, MEDAN, INDONESIA.	2018	SOCIAL SCIENCES, INTERDISCIPLINARY	1.0			female	1.0
ISI000455064700009	AKGUN, NURTEN; DISSANAYAKE, DILUM; THORPE, NEIL; BELL, MARGARET C.	CYCLIST CASUALTY SEVERITY AT ROUNDABOUTS - TO WHAT EXTENT DO THE GEOMETRIC CHARACTERISTICS OF ROUNDABOUTS PLAY A PART?	JOURNAL OF SAFETY RESEARCH	INTRODUCTION: IN GENERAL, PRIORITY JUNCTIONS ARE CONVERTED INTO ROUNDABOUTS TO INCREASE CAPACITY AND REDUCE VEHICLE ACCIDENTS. HOWEVER, PREVIOUS RESEARCH HAS INDICATED THAT ROUNDABOUTS ARE DANGEROUS FOR VULNERABLE USERS, ESPECIALLY CYCLISTS. METHOD: THIS PAPER INVESTIGATES WHICH DESIGN FACTORS INFLUENCE CYCLIST CASUALTY SEVERITY AT GIVE WAY (NON-SIGNALIZED) ROUNDABOUTS WITH MIXED TRAFFIC, USING THE UK STATS19 NATIONAL DATASET OF CYCLIST CASUALTIES. FIRST, THE CORRELATION MATRIX WAS GENERATED TO OBSERVE THE RELATIONSHIP BETWEEN VARIABLES. SECOND, DIMENSION REDUCTION WAS APPLIED TO GEOMETRIC DESIGN VARIABLES IN ORDER TO REDUCE THE NUMBER OF VARIABLES AND GENERATE THE FACTORS. FINALLY, THE BINARY LOGISTIC REGRESSION METHOD, WITH SERIOUS AND SLIGHT CASUALTIES AS DEPENDENT VARIABLES, WAS APPLIED IN THREE STEPS. THE FIRST BINARY LOGISTIC REGRESSION MODEL (BLRM) INCLUDED SPEED LIMIT, SOCIODEMOGRAPHIC, AND METEOROLOGICAL CONDITIONS. THE VARIABLES IN THE SECOND BLRM CONSISTED OF GEOMETRIC DESIGN VARIABLES. THE THIRD BLRM INCLUDED THE FACTORS THAT WERE GENERATED BY DIMENSION REDUCTION. RESULTS: THE CORRELATION MATRIX REVEALED THAT THE NUMBER OF LANES ON APPROACH AND HALF WIDTH ON APPROACH WERE STATISTICALLY SIGNIFICANTLY CORRELATED, WHILE THE VARIABLES, SUCH AS GEOMETRIC DESIGN (ENTRY PATH RADIUS, NUMBER OF ARMS, NUMBER OF FLARE LANES ON APPROACH, TYPE OF ROUNDABOUT AND NUMBER OF CIRCULATING LANES), SOCIODEMOGRAPHIC (CASUALTY GENDER AND AGE), SPEED LIMIT AND METEOROLOGICALLY RELATED FACTORS (DAYLIGHT, WEATHER AND ROAD SURFACE CONDITION), DID NOT SHOW ANY STATISTICAL SIGNIFICANCE. FROM THE DIMENSION REDUCTION PROCESS, TWO MAIN FACTORS WERE IDENTIFIED, INCLUDING APPROACH CAPACITY (FACTOR 1) AND SIZE OF ROUNDABOUT (FACTOR 2), AND THEY WERE SUBSEQUENTLY USED AS INDEPENDENT VARIABLES IN THE LOGISTIC REGRESSION ANALYSIS. THE SUBSEQUENT BLRMS SHOWED THAT A HIGHER SPEED LIMIT REDUCES THE SAFETY FOR CYCLISTS AT ROUNDABOUTS. THE PROBABILITY OF A SERIOUS CASUALTY INCREASES BY APPROXIMATELY FIVE TIMES (ODDS RATIO 4.97) FOR EACH ADDITIONAL NUMBER OF LANES ON APPROACH AND BY 4% (ODDS RATIO 1.04) WITH A HIGHER ENTRY PATH RADIUS. IT WAS ALSO FOUND THAT FACTOR 2 (APPROACH CAPACITY) INCREASES THE CASUALTY SEVERITY (ODDS RATIO 1.86) FOR CYCLISTS AT ROUNDABOUTS. PRACTICAL APPLICATIONS: WHILE THIS RESEARCH STUDIED ROUNDABOUTS IN THE UK, THE METHODOLOGICAL APPROACH AND STATISTICAL ANALYSIS TECHNIQUES ARE APPLICABLE TO OTHER COUNTRIES AND THE FINDINGS ARE LIKELY TO BE OF VALUE TO DECISION MAKERS WORLDWIDE. (C) 2018 NATIONAL SAFETY COUNCIL AND ELSEVIER LTD. ALL RIGHTS RESERVED.	[AKGUN, NURTEN; DISSANAYAKE, DILUM; THORPE, NEIL; BELL, MARGARET C.] NEWCASTLE UNIV, SCH ENGN, CASSIE BLDG, NEWCASTLE UPON TYNE NE1 7RU, TYNE & WEAR, ENGLAND.	2018	ERGONOMICS; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; SOCIAL SCIENCES, INTERDISCIPLINARY; TRANSPORTATION	2.0	male	1.0	female	1.0
ISI000455064700015	WANG, HUARONG; SCHWEBEL, DAVID C.; TAN, DINGLIANG; SHI, LICHENG; MIAO, LVQING	GENDER DIFFERENCES IN CHILDREN'S PEDESTRIAN BEHAVIORS: DEVELOPMENTAL EFFECTS	JOURNAL OF SAFETY RESEARCH	INTRODUCTION: ALL CHILD PEDESTRIANS ARE VULNERABLE TO ROAD TRAFFIC INJURIES, BUT THERE IS EVIDENCE THAT BOYS MAY BE AT GREATER RISK THAN GIRLS, AT LEAST AMONG SOME AGE GROUPS. METHOD: TO CREATE EFFECTIVE INTERVENTION PROGRAMS, RESEARCH ON HOW BOYS AND GIRLS OF PARTICULAR AGES BEHAVE AS PEDESTRIANS, AND WHETHER THERE ARE GENDER DIFFERENCES THAT INCREASE RISK FOR PARTICULAR GENDERS AT PARTICULAR AGES, IS NEEDED. IN THIS STUDY, 255 BOYS AND 235 GIRLS IN GRADE 1 THROUGH 6 FROM TWO PRIMARY SCHOOLS IN NANTONG CITY, CHINA, WERE UNOBTRUSIVELY VIDEOTAPED WHEN WALKING TO SCHOOL IN THE MORNING. VIDEOTAPES WERE REVIEWED AND CODED FOR SEVEN PEDESTRIAN SAFETY BEHAVIORS, INCLUDING ACTIVITIES RELATED TO CROSSING STREETS (WALKING INSTEAD OF RUNNING/HOPPING, OBSERVING TRAFFIC, USING THE CROSSWALK INSTEAD OF WALKING OUTSIDE THE CROSSWALK, AND KEEPING CLOSE TO AN ACCOMPANYING ADULT) AND THOSE RELATED TO WALKING ALONGSIDE BUSY STREETS (WALKING INSTEAD OF RUNNING/HOPPING ON THE SIDEWALK, NOT PLAYING ON THE SIDEWALK, WALKING ALONE INSTEAD OF WALKING SIDE-BY-SIDE WITH A PARTNER). RESULTS: RESULTS REVEALED THAT AS A WHOLE, BOYS PLAYED ON THE SIDEWALK MORE OFTEN THAN GIRLS (P < 0.01) AND CROSSED WITH AN ACCOMPANYING ADULT MORE THAN GIRLS (P <0.05), WHILE GIRLS WALKED SIDE-BY-SIDE WITH PARTNERS MORE OFTEN THAN BOYS (P <0.05). WITH A FEW EXCEPTIONS, BOYS AND GIRLS IN THE YOUNGER GRADES (1-2) AS WELL AS THOSE IN THE OLDER GRADES (5-6) BEHAVED FAIRLY SIMILARLY AS PEDESTRIANS, BUT BOYS AND GIRLS IN THE MIDDLE GRADES (3-4) PRESENTED WITH SEVERAL SIGNIFICANT GENDER-BASED DIFFERENCES. IN THE MIDDLE GRADES, BOYS WATCHED TRAFFIC MORE THAN GIRLS WHILE CROSSING (P <0.01); RAN, HOPPED AND PLAYED ON THE SIDEWALK MORE OFTEN THAN GIRLS (P <0.05); AND WALKED SIDE-BY-SIDE LESS OFTEN WITH PARTNERS THAN GIRLS (P <0.05). WE ALSO DETECTED DIFFERENT GENDER -BASED TRENDS IN THE DEVELOPMENT OF PEDESTRIAN SKILLS. WITH INCREASING AGE, GIRLS PERFORMED MORE SAFELY IN PEDESTRIAN TASKS, BUT BOYS DID NOT SHOW A SIMILAR DEVELOPMENTAL TREND. CONCLUSIONS: WE CONCLUDE THAT BOYS AND GIRLS EXHIBIT DIFFERENT CHARACTERISTICS IN THEIR PEDESTRIAN BEHAVIORS AND DISCUSS IMPLICATIONS FOR PREVENTION. (C) 2018 NATIONAL SAFETY COUNCIL AND ELSEVIER LTD. ALL RIGHTS RESERVED.	[WANG, HUARONG; SHI, LICHENG; MIAO, LVQING] NANTONG UNIV, INST NAUT MED, DEPT PSYCHOL, 9 SEYUAN RD, NANTONG 226019, PEOPLES R CHINA.; [SCHWEBEL, DAVID C.] UNIV ALABAMA BIRMINGHAM, DEPT PSYCHOL, 1300 UNIV BLVD,CH 415, BIRMINGHAM, AL 35294 USA.; [TAN, DINGLIANG] NANJING NORMAL UNIV, SCH EDUC SCI, 122 NINGHAI RD, NANJING 210097, JIANGSU, PEOPLES R CHINA.	2018	ERGONOMICS; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; SOCIAL SCIENCES, INTERDISCIPLINARY; TRANSPORTATION	1.0	male	1.0		
