PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Gusta, ALR; Madera, N; Caminotti, M				Rodriguez Gusta, Ana Laura; Madera, Nancy; Caminotti, Mariana			Governance Models of Gender Policy Machineries under Left and Right Governments in Latin America	SOCIAL POLITICS			English	Article							STATE FEMINISM; POLITICS; WOMEN; REPRESENTATION; MOVEMENTS; LIMITS	In Latin America, the last fifteen years of left-wing government provide an opportunity to examine whether government ideology matters for the institutional design of gender policy machineries. We conduct a cross-national comparison of gender policy machinery governance models, taking three well-established models-bureaucratic, participatory, and transformative-as empirical guidance. We find that no one clear model is associated with government ideology. By studying four cases in-depth-Argentina, Brazil, Mexico, and Venezuela-we provide a more nuanced interpretation of how governance models are influenced by an interaction between party type, broader state capacities, and participatory structures.	[Rodriguez Gusta, Ana Laura; Madera, Nancy; Caminotti, Mariana] Univ Nacl San Martin, Escuela Polit & Gobierno, CP 1650, San Martin, Provincia De Bu, Argentina	Gusta, ALR (reprint author), Univ Nacl San Martin, Escuela Polit & Gobierno, CP 1650, San Martin, Provincia De Bu, Argentina.	ana_laura_gusta@yahoo.es			National Council of Scientific and Technical Research (CONICET); Universidad Nacional de San Martin; United Nations Development Program [76133]	This project was supported by the National Council of Scientific and Technical Research (CONICET) and by a joint project on Latin American Feminism, between the Universidad Nacional de San Martin and the United Nations Development Program. (Project 76133, Gender Mainstreaming). The content of this article does not necessarily reflect the views of the United Nations Development Program, its Executive Board or its Member States, and the UNDP does not represent or endorse the accuracy or reliability of any statement in this article. The authors thank Merike Blofield, Christina Ewig, and Jennifer Piscopo for extensive comments on previous versions and two anonymous reviewers for their generous suggestions.		79	1	1	1	1	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	1072-4745	1468-2893		SOC POLIT	Soc. Polit.	WIN	2017	24	4			SI		452	480		10.1093/sp/jxx015				29	Social Issues; Women's Studies	Social Issues; Women's Studies	FR7VE	WOS:000419279300005					2018-09-20	
J	Beer, C				Beer, Caroline			Left Parties and Violence against Women Legislation in Mexico	SOCIAL POLITICS			English	Article							GENDER	Are governments with stronger left parties more likely to implement comprehensive violence against women (VAW) laws? This paper combines a qualitative historical study with a statistical analysis of the most recent wave of policy reform. The historical analysis shows that VAW initiatives were typically proposed by feminist legislators from centrist or leftist parties, often with close ties to the feminist movement. The regression results show that the strength of leftist parties in the state legislature does not have a significant effect on the comprehensiveness or implementation of VAW laws, but the strength of the feminist movement does.	[Beer, Caroline] Univ Vermont, Dept Polit Sci, 94 Univ Pl,Old Mill Room 533, Burlington, VT 05405 USA	Beer, C (reprint author), Univ Vermont, Dept Polit Sci, 94 Univ Pl,Old Mill Room 533, Burlington, VT 05405 USA.	caroline.beer@uvm.edu						62	0	0	2	2	OXFORD UNIV PRESS	OXFORD	GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND	1072-4745	1468-2893		SOC POLIT	Soc. Polit.	WIN	2017	24	4			SI		511	537		10.1093/sp/jxx017				27	Social Issues; Women's Studies	Social Issues; Women's Studies	FR7VE	WOS:000419279300007					2018-09-20	
J	Lin, X; Rudolf, R				Lin, Xi; Rudolf, Robert			Does K-pop Reinforce Gender Inequalities? Empirical Evidence from a New Data Set	ASIAN WOMEN			English	Article						K-pop; sexism; sexual objectification; gender stereotypes; gender attitudes	MUSIC VIDEOS; SEXUAL OBJECTIFICATION; TELEVISION; ATTITUDES; KOREA	As K-pop has become a cultural ambassador for Korea, attracting millions of fans across the globe, the sexist portrayal of both female and male idols in K-pop products stands in conflict with the gender-mainstreaming policies to which the country has committed itself. Using a unique and newly collected data set of 6,317 K-pop fans from 100 countries around the world, this study examines the relationship between individual K-pop consumption and gender attitudes of K-pop fans. Findings suggest that a higher level of spending on K-pop related items and activities is related to less egalitarian gender attitudes. Interestingly, this correlation is stronger for fans from already less gender-equal nations. Results indicate that the industry that is actively promoted by the Korean government includes elements that might reinforce a sexist culture and traditional gender roles both within Korea and around the globe, further obstructing women's pursuit of equal opportunities.	[Lin, Xi] Korea Univ, Grad Sch Int Studies, Seoul, South Korea; [Rudolf, Robert] Korea Univ, Div Int Studies, Seoul, South Korea	Rudolf, R (reprint author), Korea Univ, Div Int Studies, Seoul, South Korea.	xlin@korea.ac.kr; rrudolf@korea.ac.kr						28	0	0	9	9	SOOKMYUNG WOMENS UNIV	YOUNGSAK-KU	RES INST ASIAN WOMEN, 52 HYOCHANGWON-GIL, YOUNGSAK-KU, SEOUL 00000, SOUTH KOREA	1225-925X			ASIAN WOMEN	Asian Women	DEC	2017	33	4					27	54						28	Women's Studies	Women's Studies	FR5HT	WOS:000419098200002					2018-09-20	
J	Pucheta-Martinez, MC; Bel-Oms, I; Olcina-Sempere, G				Consuelo Pucheta-Martinez, Maria; Bel-Oms, Inmaculada; Olcina-Sempere, Gustau			Is Board Gender Diversity a Driver of CEO Compensation?: Examining the Leadership Style of Institutional Women Directors	ASIAN WOMEN			English	Article						Board gender diversity; CEO compensation; institutional women directors; pressure-sensitive women directors; pressure-resistant women directors	FIRM FINANCIAL PERFORMANCE; CORPORATE GOVERNANCE; OWNERSHIP STRUCTURE; EXECUTIVE-COMPENSATION; AGENCY COSTS; LISTED FIRMS; PAY; INVESTORS; INCENTIVES; COMMITTEES	In this investigation, we aim at examining the influence of institutional female directors on CEO compensation. Specifically, we investigate the impact of institutional female directors as a whole, differentiating by whether female directors have business ties with the firms' boards on which they sit (pressure-sensitive female directors) or do not have business links (pressure-resistant female directors). We hypothesize that there is a nonlinear association, specifically quadratic, between institutional, pressure-resistant and pressure-sensitive female directors on boards, and CEO compensation. Our findings show that CEO compensation decreases with low levels of institutional female directors and pressure-resistant female directors on boards, but when their presence on boards increases beyond a certain threshold, CEO compensation also increases. We also find that CEO compensation is not affected by pressure-sensitive female directors on boards. These findings support the premise that institutional female directors on boards cannot be considered a homogeneous group, but play an important role in managerial monitoring and remuneration policies, thus affecting the corporate governance system.	[Consuelo Pucheta-Martinez, Maria; Olcina-Sempere, Gustau] Univ Jaume 1, Castellon De La Plana, Spain; [Bel-Oms, Inmaculada] Univ Complutense Madrid, Madrid, Spain	Pucheta-Martinez, MC (reprint author), Univ Jaume 1, Castellon De La Plana, Spain.	pucheta@uji.es; inmabel@ucm.es; golcina@uji.es						71	0	0	9	9	SOOKMYUNG WOMENS UNIV	YOUNGSAK-KU	RES INST ASIAN WOMEN, 52 HYOCHANGWON-GIL, YOUNGSAK-KU, SEOUL 00000, SOUTH KOREA	1225-925X			ASIAN WOMEN	Asian Women	DEC	2017	33	4					55	80						26	Women's Studies	Women's Studies	FR5HT	WOS:000419098200003					2018-09-20	
J	Mujahed, F; Atan, T				Mujahed, Fares; Atan, Tarik			Breaking the Glass Ceiling: Dealing with the Attitudes of Palestinians toward Women Holding Leading Administrative Positions	ASIAN WOMEN			English	Article						attitudes; national culture; gender stereotype; work-family conflict	FEMALE; LEADERS	This study seeks to examine Palestinian attitudes toward women holding leading administrative positions. A structured questionnaire was used to examine attitudes, and to identify the main impediments to women's promotion and advancement to leading administrative positions. Employees in the Palestinian public sector institutions operating in the West Bank were surveyed. Results indicate that respondents generally show negative attitudes toward women in top administrative positions. Findings also revealed that cultural attitudes posed significant impediments to women's advancement to these positions. Other barriers include gender stereotypes and work-family conflicts. Implications for future research and practice are discussed.	[Mujahed, Fares] Cyprus Int Univ, Fac Econ & Adm Sci, Nicosia, North Cyprus, Cyprus; [Atan, Tarik] Cyprus Int Univ, Nicosia, North Cyprus, Cyprus	Mujahed, F (reprint author), Cyprus Int Univ, Fac Econ & Adm Sci, Nicosia, North Cyprus, Cyprus.	fmujahed@hotmail.com; tatan@ciu.edu.tr						50	0	0	9	9	SOOKMYUNG WOMENS UNIV	YOUNGSAK-KU	RES INST ASIAN WOMEN, 52 HYOCHANGWON-GIL, YOUNGSAK-KU, SEOUL 00000, SOUTH KOREA	1225-925X			ASIAN WOMEN	Asian Women	DEC	2017	33	4					81	107						27	Women's Studies	Women's Studies	FR5HT	WOS:000419098200004					2018-09-20	
J	Wang, B				Wang, Bin			Finding Women in the State: A Socialist Feminist Revolution in the People's Republic of China, 1949-1964	ASIAN WOMEN			English	Book Review									[Wang, Bin] Univ Sydney, Dept Gender & Cultural Studies, Sydney, NSW, Australia	Wang, B (reprint author), Univ Sydney, Dept Gender & Cultural Studies, Sydney, NSW, Australia.	bwan4020@uni.sydney.edu.au						1	0	0	1	1	SOOKMYUNG WOMENS UNIV	YOUNGSAK-KU	RES INST ASIAN WOMEN, 52 HYOCHANGWON-GIL, YOUNGSAK-KU, SEOUL 00000, SOUTH KOREA	1225-925X			ASIAN WOMEN	Asian Women	DEC	2017	33	4					109	112						4	Women's Studies	Women's Studies	FR5HT	WOS:000419098200005					2018-09-20	
J	Roelens, J				Roelens, Jonas			A Woman Like Any Other: Female Sodomy, Hermaphroditism, and Witchcraft in Seventeenth-Century Bruges	JOURNAL OF WOMENS HISTORY			English	Article							MEDIEVAL; TRIAL	This article discusses the official and popular responses to a particular sodomy trial held at Bruges in 1618 during which two women, Mayken and Magdaleene, were accused of several sexual and moral transgressions. The interrogation records of the accused female sodomites illustrate the remarkable self-consciousness of early modern women with same-sex desires. Their attitudes collided, however, with popular mentalities towards female sodomy, which local testimonies explained away as a physical abnormality or an act of diabolical witchcraft. This article offers an in-depth analysis of these discourses in order to gain a fuller understanding of the perception of female sodomy in early modern urban society.	[Roelens, Jonas] Univ Ghent, Ghent, Belgium	Roelens, J (reprint author), Univ Ghent, Ghent, Belgium.							97	0	0	1	2	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	1042-7961	1527-2036		J WOMENS HIST	J. Womens Hist.	WIN	2017	29	4					11	34						24	History; Women's Studies	History; Women's Studies	FQ0AH	WOS:000418010800002					2018-09-20	
J	Mbah, NL				Mbah, Ndubueze L.			FEMALE MASCULINITIES, DISSIDENT SEXUALITY, AND THE MATERIAL POLITICS OF GENDER IN EARLY TWENTIETH-CENTURY IGBOLAND	JOURNAL OF WOMENS HISTORY			English	Article							COLONIALISM; BIOGRAPHY; NIGERIA; AFRICA; WOMEN	Colonialism, Christianity, and Western education alienated women from the dominant resources of social mobility, which resulted in the masculinization of wealth in early twentieth-century Igboland. This article examines women's individual challenges to changing practices of gendered access, sexuality, and power. By performing ogaranya (wealth-power) masculinity through trade, mediumship, and matronship, Ohafia women expanded the ideological scope of gender hegemony beyond colonial patriarchal structures. The case studies of two Ohafia women, Unyang Uka and Otuwe Agwu, who performed ogaranya masculinity and the dissident sexuality of oke-nwami (masculine female husband), bridge a gap in gender theory in African studies by reconciling the literature on West African women's power and authority with the nascent field of African masculinity studies. They show that changes in women's sociopolitical power paralleled the shifting constructions of masculinity in West Africa. Igbo women's masculinity performances simultaneously elided and reinforced changing notions of gendered power.	[Mbah, Ndubueze L.] SUNY Buffalo, Hist, Buffalo, NY 14260 USA	Mbah, NL (reprint author), SUNY Buffalo, Hist, Buffalo, NY 14260 USA.							90	0	0	1	1	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	1042-7961	1527-2036		J WOMENS HIST	J. Womens Hist.	WIN	2017	29	4					35	60						26	History; Women's Studies	History; Women's Studies	FQ0AH	WOS:000418010800003					2018-09-20	
J	Weis, J				Weis, Julianne			Medicalization and Maternal Health: The Use of Female Health Auxiliaries to Modernize Ethiopia under Haile Selassie, 1930-1974	JOURNAL OF WOMENS HISTORY			English	Article								This article contributes to larger twentieth-century debates on the process of childbirth's medicalization and the increasing insertion of medicine into maternal health. Focusing on Ethiopia, the article describes how the nation's first medical network co-opted women into development schemes, using childbirth and maternity care as symbols for larger concerns about reforming "backward traditions" in the name of socioeconomic progress. Women engaged in this cultural reformation both as medical practitioners and patients, working to "modernize" domestic practices to effect national levels of development and change. Women's participation in medicine, however, was highly restricted: working only as nurses and midwives, women were trained merely to prevent crises of birthing through social education and cultural reform, not "cure" obstetric emergencies common among Ethiopian women. This limitation in modern maternity care in Ethiopia is further evidence of the largely symbolic nature of medicine's insertion in the practices of childbirth. Childbirth is socially controlled in all societies. In no society is the process of pregnancy and parturition treated as simply a physiological process, untouched by a cultural context, prescriptions, proscriptions, and customary practices.	[Weis, Julianne] Anthrologica, York, N Yorkshire, England	Weis, J (reprint author), Anthrologica, York, N Yorkshire, England.							38	0	0	4	4	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	1042-7961	1527-2036		J WOMENS HIST	J. Womens Hist.	WIN	2017	29	4					61	84						24	History; Women's Studies	History; Women's Studies	FQ0AH	WOS:000418010800004					2018-09-20	
J	Roth, C				Roth, Cassia			Policing Pregnancy: Reproduction, Poverty, and the Law in Early Twentieth-Century Rio de Janeiro	JOURNAL OF WOMENS HISTORY			English	Article							INFANTICIDE; ABORTION	At the turn of the twentieth century, women across the Americas experienced increased scrutiny over their reproductive lives. The Brazilian city of Rio de Janeiro presents one crucial case study for understanding how the uneven process of modernization affected women's reproduction, and, in turn, how women negotiated these changes. This article explores police attitudes towards poor women's reproductive lives during Brazil's First Republic (1889-1930) and the early period of Getulio Vargas's regime (1930-1937). During this time period, Brazil experienced a shift from familial to state patriarchy, and women's sexual lives-and honorbecame public goods. I argue that police practice embedded patriarchal definitions of honor into modern judicial and societal attitudes toward women's bodies. As the state began controlling women's sexuality, the police played an active role defining and monitoring women's reproductive lives. But women actively negotiated police scrutiny over their reproduction in ways that complicated any monolithic consolidation of patriarchal norms.	[Roth, Cassia] Univ Edinburgh, Edinburgh, Midlothian, Scotland	Roth, C (reprint author), Univ Edinburgh, Edinburgh, Midlothian, Scotland.			Roth, Cassia/0000-0001-8084-3355				96	0	0	1	1	JOHNS HOPKINS UNIV PRESS	BALTIMORE	JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, MD 21218-4363 USA	1042-7961	1527-2036		J WOMENS HIST	J. Womens Hist.	WIN	2017	29	4					85	108						24	History; Women's Studies	History; Women's Studies	FQ0AH	WOS:000418010800005					2018-09-20	
